model,target,accuracy,precision,recall,f1_score
logistic_price_up_next_day,price_up_next_day,0.4657534246575342,0.4,0.4375,0.417910447761194
rf_price_up_next_day,price_up_next_day,0.4794520547945205,0.42105263157894735,0.5,0.45714285714285713
mlp_price_up_next_day,price_up_next_day,0.4794520547945205,0.4423076923076923,0.71875,0.5476190476190477
lstm_price_up_next_day,price_up_next_day,0.5555555555555556,0.47368421052631576,0.3333333333333333,0.391304347826087
logistic_price_up_3d,price_up_3d,0.589041095890411,0.56,0.42424242424242425,0.4827586206896552
rf_price_up_3d,price_up_3d,0.5342465753424658,0.4827586206896552,0.42424242424242425,0.45161290322580644
mlp_price_up_3d,price_up_3d,0.547945205479452,0.5,0.3333333333333333,0.4
lstm_price_up_3d,price_up_3d,0.6349206349206349,0.6428571428571429,0.3333333333333333,0.43902439024390244
logistic_price_up_7d,price_up_7d,0.6986301369863014,0.53125,0.7083333333333334,0.6071428571428571
rf_price_up_7d,price_up_7d,0.6301369863013698,0.45454545454545453,0.625,0.5263157894736842
mlp_price_up_7d,price_up_7d,0.6712328767123288,0.5,0.16666666666666666,0.25
lstm_price_up_7d,price_up_7d,0.7301587301587301,0.6666666666666666,0.3,0.41379310344827586
logistic_price_up_14d,price_up_14d,0.6438356164383562,0.20689655172413793,0.6666666666666666,0.3157894736842105
rf_price_up_14d,price_up_14d,0.3150684931506849,0.15254237288135594,1.0,0.2647058823529412
mlp_price_up_14d,price_up_14d,0.273972602739726,0.14516129032258066,1.0,0.2535211267605634
lstm_price_up_14d,price_up_14d,0.14285714285714285,0.14285714285714285,1.0,0.25
logistic_price_up_30d,price_up_30d,0.7397260273972602,0.05,1.0,0.09523809523809523
rf_price_up_30d,price_up_30d,0.3013698630136986,0.019230769230769232,1.0,0.03773584905660377
mlp_price_up_30d,price_up_30d,0.3698630136986301,0.02127659574468085,1.0,0.041666666666666664
lstm_price_up_30d,price_up_30d,0.2222222222222222,0.02,1.0,0.0392156862745098
